game_id,alt_game_id,type,side,line,odds,outcome
2006090700,2006_01_MIA_PIT,MONEYLINE,PIT,,-125,1
2006090700,2006_01_MIA_PIT,MONEYLINE,MIA,,105,0
2006090700,2006_01_MIA_PIT,SPREAD,MIA,1.5,,0
2006090700,2006_01_MIA_PIT,SPREAD,PIT,-1.5,,1
2006090700,2006_01_MIA_PIT,TOTAL,Under,34,,0
2006090700,2006_01_MIA_PIT,TOTAL,Over,34,,1
2006091000,2006_01_ATL_CAR,MONEYLINE,ATL,,190,1
2006091000,2006_01_ATL_CAR,MONEYLINE,CAR,,-230,0
2006091000,2006_01_ATL_CAR,SPREAD,ATL,4.5,,1
2006091000,2006_01_ATL_CAR,SPREAD,CAR,-4.5,,0
2006091000,2006_01_ATL_CAR,TOTAL,Under,38.5,,1
2006091000,2006_01_ATL_CAR,TOTAL,Over,38.5,,0
2006091001,2006_01_NO_CLE,MONEYLINE,CLE,,-200,0
2006091001,2006_01_NO_CLE,MONEYLINE,NO,,175,1
2006091001,2006_01_NO_CLE,SPREAD,NO,3,,1
2006091001,2006_01_NO_CLE,SPREAD,CLE,-3,,0
2006091001,2006_01_NO_CLE,TOTAL,Under,36.5,,1
2006091001,2006_01_NO_CLE,TOTAL,Over,36.5,,0
2006091002,2006_01_SEA_DET,MONEYLINE,DET,,250,0
2006091002,2006_01_SEA_DET,MONEYLINE,SEA,,-300,1
2006091002,2006_01_SEA_DET,SPREAD,DET,6,,1
2006091002,2006_01_SEA_DET,SPREAD,SEA,-6,,0
2006091002,2006_01_SEA_DET,TOTAL,Under,44,,1
2006091002,2006_01_SEA_DET,TOTAL,Over,44,,0
2006091003,2006_01_PHI_HOU,MONEYLINE,HOU,,250,0
2006091003,2006_01_PHI_HOU,MONEYLINE,PHI,,-300,1
2006091003,2006_01_PHI_HOU,SPREAD,PHI,-6,,1
2006091003,2006_01_PHI_HOU,SPREAD,HOU,6,,0
2006091003,2006_01_PHI_HOU,TOTAL,Under,38,,1
2006091003,2006_01_PHI_HOU,TOTAL,Over,38,,0
2006091004,2006_01_CIN_KC,MONEYLINE,CIN,,110,1
2006091004,2006_01_CIN_KC,MONEYLINE,KC,,-130,0
2006091004,2006_01_CIN_KC,SPREAD,CIN,1,,1
2006091004,2006_01_CIN_KC,SPREAD,KC,-1,,0
2006091004,2006_01_CIN_KC,TOTAL,Under,48.5,,1
