pick,stuart,johnson,hill,otc
1,34.6,3000,1000,3000
2,30.2,2600,717.17,2635
3,27.6,2200,514.33,2421
4,25.8,1800,490.52,2270
5,24.3,1700,467.81,2152
6,23.2,1600,446.15,2056
7,22.2,1500,425.5,1975
8,21.4,1400,405.8,1905
9,20.6,1350,387.01,1843
10,19.9,1300,369.09,1787
11,19.3,1250,357.62,1737
12,18.8,1200,346.51,1691
13,18.3,1150,335.74,1649
14,17.8,1100,325.31,1610
15,17.4,1050,315.2,1574
16,16.9,1000,305.41,1540
17,16.6,950,295.92,1508
18,16.2,900,286.72,1478
19,15.8,875,277.81,1449
20,15.5,850,269.18,1422
21,15.2,800,260.82,1397
22,14.9,780,252.71,1372
23,14.6,760,244.86,1349
24,14.4,740,237.25,1326
25,14.1,720,229.88,1305
26,13.9,700,222.74,1284
27,13.6,680,215.81,1264
28,13.4,660,209.11,1245
29,13.2,640,202.61,1227
30,12.9,620,196.31,1209
31,12.7,600,190.21,1192
32,12.5,590,184.3,1175
33,12.3,580,179.54,1159
34,12.1,560,174.89,1143
35,12,550,170.37,1128
36,11.8,540,165.97,1113
37,11.6,530,161.67,1098
38,11.4,520,157.49,1084
39,11.3,510,153.42,1071
40,11.1,500,149.45,1057
41,11,490,145.59,1044
42,10.8,480,141.82,1032
43,10.6,470,138.15,1019
44,10.5,460,134.58,1007
45,10.4,450,131.1,995
46,10.2,440,127.71,984
47,10.1,430,124.41,973
48,9.9,420,121.19,961
49,9.8,410,118.06,951
50,9.7,400,115,940
51,9.6,390,112.03,929
52,9.4,380,109.13,919
53,9.3,370,106.31,909
54,9.2,360,103.56,899
55,9.1,350,100.88,890
56,9,340,98.27,880
57,8.9,330,95.73,871
58,8.7,320,93.26,862
59,8.6,310,90.84,853
60,8.5,300,88.49,844
61,8.4,292,86.21,835
62,8.3,284,83.98,827
63,8.2,276,81.81,818
64,8.1,270,76.69,810
65,8,265,77.95,802
66,7.9,260,76.25,794
67,7.8,255,74.59,786
68,7.7,250,72.97,778
69,7.6,245,71.38,770
70,7.5,240,69.82,763
71,7.5,235,68.3,755
72,7.4,230,66.81,748
73,7.3,225,65.36,741
74,7.2,220,63.93,733
75,7.1,215,62.54,726
76,7,210,61.18,719
77,6.9,205,59.85,713
78,6.9,200,58.54,706
79,6.8,195,57.27,699
80,6.7,190,56.02,692
81,6.6,185,54.8,686
82,6.5,180,53.6,679
83,6.5,175,52.44,673
84,6.4,170,51.29,667
85,6.3,165,50.18,660
86,6.2,160,49.08,654
87,6.2,155,48.01,648
88,6.1,150,46.97,642
89,6,145,45.94,636
90,5.9,140,44.94,630
91,5.9,136,43.96,625
92,5.8,132,43.01,619
93,5.7,128,42.07,613
