season,sportsbook,type,about,side,line
2021,WSGT,SPREAD,2021_01_DAL_TB,TB,-6.5
2021,WSGT,SPREAD,2021_01_DAL_TB,DAL,6.5
2021,WSGT,TOTAL,2021_01_DAL_TB,Over,52.0
2021,WSGT,TOTAL,2021_01_DAL_TB,Under,52.0
2021,WSGT,SPREAD,2021_01_PIT_BUF,BUF,-6.0
2021,WSGT,SPREAD,2021_01_PIT_BUF,PIT,6.0
2021,WSGT,TOTAL,2021_01_PIT_BUF,Over,49.5
2021,WSGT,TOTAL,2021_01_PIT_BUF,Under,49.5
2021,WSGT,SPREAD,2021_01_NYJ_CAR,CAR,-4.5
2021,WSGT,SPREAD,2021_01_NYJ_CAR,NYJ,4.5
2021,WSGT,TOTAL,2021_01_NYJ_CAR,Over,43.0
2021,WSGT,TOTAL,2021_01_NYJ_CAR,Under,43.0
2021,WSGT,SPREAD,2021_01_JAX_HOU,JAX,-3.0
2021,WSGT,SPREAD,2021_01_JAX_HOU,HOU,3.0
2021,WSGT,TOTAL,2021_01_JAX_HOU,Over,45.5
2021,WSGT,TOTAL,2021_01_JAX_HOU,Under,45.5
2021,WSGT,SPREAD,2021_01_ARI_TEN,TEN,-2.5
2021,WSGT,SPREAD,2021_01_ARI_TEN,ARI,2.5
2021,WSGT,TOTAL,2021_01_ARI_TEN,Over,51.0
2021,WSGT,TOTAL,2021_01_ARI_TEN,Under,51.0
2021,WSGT,SPREAD,2021_01_LAC_WAS,LAC,-1.5
2021,WSGT,SPREAD,2021_01_LAC_WAS,WAS,1.5
2021,WSGT,TOTAL,2021_01_LAC_WAS,Over,44.5
2021,WSGT,TOTAL,2021_01_LAC_WAS,Under,44.5
2021,WSGT,SPREAD,2021_01_PHI_ATL,ATL,-3.5
2021,WSGT,SPREAD,2021_01_PHI_ATL,PHI,3.5
2021,WSGT,TOTAL,2021_01_PHI_ATL,Over,47.0
2021,WSGT,TOTAL,2021_01_PHI_ATL,Under,47.0
2021,WSGT,SPREAD,2021_01_SEA_IND,IND,-3.0
2021,WSGT,SPREAD,2021_01_SEA_IND,SEA,3.0
2021,WSGT,TOTAL,2021_01_SEA_IND,Over,52.0
2021,WSGT,TOTAL,2021_01_SEA_IND,Under,52.0
2021,WSGT,SPREAD,2021_01_MIN_CIN,MIN,-3.0
2021,WSGT,SPREAD,2021_01_MIN_CIN,CIN,3.0
2021,WSGT,TOTAL,2021_01_MIN_CIN,Over,48.0
2021,WSGT,TOTAL,2021_01_MIN_CIN,Under,48.0
2021,WSGT,SPREAD,2021_01_SF_DET,SF,-7.0
2021,WSGT,SPREAD,2021_01_SF_DET,DET,7.0
2021,WSGT,TOTAL,2021_01_SF_DET,Over,45.5
2021,WSGT,TOTAL,2021_01_SF_DET,Under,45.5
2021,WSGT,SPREAD,2021_01_CLE_KC,KC,-6.5
2021,WSGT,SPREAD,2021_01_CLE_KC,CLE,6.5
2021,WSGT,TOTAL,2021_01_CLE_KC,Over,53.0
2021,WSGT,TOTAL,2021_01_CLE_KC,Under,53.0
2021,WSGT,SPREAD,2021_01_MIA_NE,NE,-2.5
2021,WSGT,SPREAD,2021_01_MIA_NE,MIA,2.5
2021,WSGT,TOTAL,2021_01_MIA_NE,Over,44.5
2021,WSGT,TOTAL,2021_01_MIA_NE,Under,44.5
2021,WSGT,SPREAD,2021_01_DEN_NYG,DEN,-1.0
2021,WSGT,SPREAD,2021_01_DEN_NYG,NYG,1.0
2021,WSGT,TOTAL,2021_01_DEN_NYG,Over,42.0
2021,WSGT,TOTAL,2021_01_DEN_NYG,Under,42.0
2021,WSGT,SPREAD,2021_01_GB_NO,NO,-3.0
2021,WSGT,SPREAD,2021_01_GB_NO,GB,3.0
2021,WSGT,TOTAL,2021_01_GB_NO,Over,50.5
2021,WSGT,TOTAL,2021_01_GB_NO,Under,50.5
2021,WSGT,SPREAD,2021_01_CHI_LA,LA,-7.0
2021,WSGT,SPREAD,2021_01_CHI_LA,CHI,7.0
2021,WSGT,TOTAL,2021_01_CHI_LA,Over,44.5
2021,WSGT,TOTAL,2021_01_CHI_LA,Under,44.5
2021,WSGT,SPREAD,2021_01_BAL_LV,BAL,-3.5
2021,WSGT,SPREAD,2021_01_BAL_LV,LV,3.5
2021,WSGT,TOTAL,2021_01_BAL_LV,Over,51.0
2021,WSGT,TOTAL,2021_01_BAL_LV,Under,51.0
2021,WSGT,SPREAD,2021_02_NYG_WAS,WAS,-3.0
2021,WSGT,SPREAD,2021_02_NYG_WAS,NYG,3.0
2021,WSGT,TOTAL,2021_02_NYG_WAS,Over,43.0
2021,WSGT,TOTAL,2021_02_NYG_WAS,Under,43.0
2021,WSGT,SPREAD,2021_02_NE_NYJ,NE,-3.0
2021,WSGT,SPREAD,2021_02_NE_NYJ,NYJ,3.0
2021,WSGT,TOTAL,2021_02_NE_NYJ,Over,42.5
2021,WSGT,TOTAL,2021_02_NE_NYJ,Under,42.5
2021,WSGT,SPREAD,2021_02_DEN_JAX,DEN,-1.5
2021,WSGT,SPREAD,2021_02_DEN_JAX,JAX,1.5
2021,WSGT,TOTAL,2021_02_DEN_JAX,Over,43.5
2021,WSGT,TOTAL,2021_02_DEN_JAX,Under,43.5
2021,WSGT,SPREAD,2021_02_BUF_MIA,BUF,-3.5
2021,WSGT,SPREAD,2021_02_BUF_MIA,MIA,3.5
2021,WSGT,TOTAL,2021_02_BUF_MIA,Over,48.5
2021,WSGT,TOTAL,2021_02_BUF_MIA,Under,48.5
2021,WSGT,SPREAD,2021_02_SF_PHI,SF,-4.0
2021,WSGT,SPREAD,2021_02_SF_PHI,PHI,4.0
2021,WSGT,TOTAL,2021_02_SF_PHI,Over,46.0
2021,WSGT,TOTAL,2021_02_SF_PHI,Under,46.0
2021,WSGT,SPREAD,2021_02_LA_IND,IND,-1.5
2021,WSGT,SPREAD,2021_02_LA_IND,LA,1.5
2021,WSGT,TOTAL,2021_02_LA_IND,Over,49.5
