game_id,off_pos,official_id,name
1999_01_ARI_PHI,R,WintRo0r,Ron Winter
1999_01_ARI_PHI,U,CoukEd0r,Ed Coukart
1999_01_ARI_PHI,DJ,RiveSa0r,Sanford Rivers
1999_01_ARI_PHI,LJ,MaurBr0r,Bruce Maurer
1999_01_ARI_PHI,BJ,SmitBi0r,Billy Smith
1999_01_ARI_PHI,SJ,HillTo0r,Tom Hill
1999_01_ARI_PHI,FJ,ZimmSt0r,Steven Zimmer
1999_01_BAL_STL,R,WhitTo0r,Tom White
1999_01_BAL_STL,U,QuirJi0r,Jim Quirk
1999_01_BAL_STL,DJ,WeidPa0r,Paul Weidner
1999_01_BAL_STL,LJ,MariRo0r,Ron Marinucci
1999_01_BAL_STL,BJ,WaggBo0r,Bob Waggoner
1999_01_BAL_STL,SJ,LaneGa0r,Gary Lane
1999_01_BAL_STL,FJ,EdwaSc0r,Scott Edwards
1999_01_BUF_IND,R,BlumRo0r,Ron Blum
1999_01_BUF_IND,U,WilsSt0r,Steve Wilson
1999_01_BUF_IND,DJ,HittMa0r,Mark Hittner
1999_01_BUF_IND,LJ,PoinAa0r,Aaron Pointer
1999_01_BUF_IND,BJ,DornKi0r,Kirk Dornan
1999_01_BUF_IND,SJ,SpykBi0r,Bill Spyksma
1999_01_BUF_IND,FJ,JuryAl0r,Al Jury
1999_01_CAR_NO,R,NemmLa0r,Larry Nemmers
1999_01_CAR_NO,U,GereNe0r,Neil Gereb
1999_01_CAR_NO,DJ,WillDa0r,Dale Williams
1999_01_CAR_NO,LJ,StewCh0r,Charles Stewart
1999_01_CAR_NO,BJ,SchmBi0r,Bill Schmitz
1999_01_CAR_NO,SJ,FincTo0r,Tom Fincken
1999_01_CAR_NO,FJ,CheeBo0r,Boris Cheek
1999_01_CIN_TEN,R,CareMi0r,Mike Carey
1999_01_CIN_TEN,U,DeFeGa0r,Garth DeFelice
1999_01_CIN_TEN,DJ,SemoSi0r,Sid Semon
1999_01_CIN_TEN,LJ,AndeWa0r,Walt Anderson
1999_01_CIN_TEN,BJ,SpitRo0r,Ron Spitler
1999_01_CIN_TEN,SJ,MoorTo0r,Tommy Moore
1999_01_CIN_TEN,FJ,MorePe0r,Pete Morelli
1999_01_DAL_WAS,R,ColeWa0r,Walt Coleman
1999_01_DET_SEA,R,HantDi0r,Dick Hantak
1999_01_DET_SEA,U,MadsCa0r,Carl Madsen
1999_01_DET_SEA,DJ,BaltMa0r,Mark Baltz
1999_01_DET_SEA,LJ,StepTo0r,Tom Stephan
1999_01_DET_SEA,BJ,DorkDo0r,Don Dorkowski
1999_01_DET_SEA,SJ,CarlDo0r,Don Carlsen
1999_01_DET_SEA,FJ,SteeSc0r,Scott Steenson
1999_01_KC_CHI,R,LuckPh0r,Phil Luckett
1999_01_KC_CHI,U,WagnBo0r,Bob Wagner
1999_01_KC_CHI,DJ,SlauGa0r,Gary Slaughter
1999_01_KC_CHI,LJ,BostBy0r,Byron Boston
1999_01_KC_CHI,BJ,LeavBi0r,Bill Leavy
1999_01_KC_CHI,SJ,McAuTe0r,Terry McAulay
1999_01_KC_CHI,FJ,WardDa0r,David Warden
1999_01_MIA_DEN,R,GrieJo0r,Johnny Grier
1999_01_MIA_DEN,U,BallBr0r,Brian Balliet
1999_01_MIA_DEN,DJ,StabTo0r,Tom Stabile
1999_01_MIA_DEN,LJ,AndeDa0r,Dave Anderson
1999_01_MIA_DEN,BJ,GreeSc0r,Scott Green
1999_01_MIA_DEN,SJ,LookDe0r,Dean Look
1999_01_MIA_DEN,FJ,CarrDu0r,Duke Carroll
1999_01_MIN_ATL,R,AustGe0r,Gerry Austin
1999_01_MIN_ATL,U,DukeJi0r,Jim Duke
1999_01_MIN_ATL,DJ,SchlJo0r,John Schleyer
1999_01_MIN_ATL,LJ,BaynRo0r,Ron Baynes
1999_01_MIN_ATL,BJ,VaugJa0r,Jack Vaughan
1999_01_MIN_ATL,SJ,PattRi0r,Rick Patterson
1999_01_MIN_ATL,FJ,MackKe0r,Kevin Mack
1999_01_NE_NYJ,R,CaroBi0r,Bill Carollo
1999_01_NE_NYJ,U,HannBu0r,Butch Hanna
1999_01_NE_NYJ,DJ,VeteTo0r,Tony Veteri
1999_01_NE_NYJ,LJ,MontBe0r,Ben Montgomery
1999_01_NE_NYJ,BJ,PagaPe0r,Perry Paganelli
1999_01_NE_NYJ,SJ,RoseLa0r,Larry Rose
1999_01_NE_NYJ,FJ,MillTi0r,Tim Millis
1999_01_NYG_TB,R,HochEd0r,Ed Hochuli
1999_01_NYG_TB,U,BrowCh0r,Chad Brown
1999_01_NYG_TB,DJ,HaywGe0r,George Hayward
1999_01_NYG_TB,LJ,SpanMi0r,Michael Spanier
1999_01_NYG_TB,BJ,CareDo0r,Don Carey
1999_01_NYG_TB,SJ,HayeLa0r,Laird Hayes
1999_01_NYG_TB,FJ,SaraJi0r,Jim Saracino
1999_01_OAK_GB,R,CorrTo0r,Tony Corrente
1999_01_OAK_GB,U,BotcRo0r,Ron Botchan
1999_01_OAK_GB,DJ,GierTe0r,Terry Gierke
1999_01_OAK_GB,LJ,BarnTo0r,Tom Barnes
1999_01_OAK_GB,BJ,HortBu0r,Buddy Horton
1999_01_OAK_GB,SJ,ToolDo0r,Doug Toole
1999_01_OAK_GB,FJ,SiffTo0r,Tom Sifferman
