pff_id,pfr_id,pff_name,pff_url_name
10,SeauJu00,Junior Seau,junior-seau
11,ProeRi00,Ricky Proehl,ricky-proehl
13,WashTe01,Ted Washington,ted-washington
14,FavrBr00,Brett Favre,brett-favre
15,TrayKe20,Keith Traylor,keith-traylor
18,McAfFr00,Fred McAfee,fred-mc-afee
19,McCaKe00,Keenan McCardell,keenan-mc-cardell
21,VincTr00,Troy Vincent,troy-vincent
22,WhitBo23,Bob Whitfield,bob-whitfield
30,MoorDa00,Dave Moore,dave-moore
31,JohnBr00,Brad Johnson,brad-johnson
36,BledDr00,Drew Bledsoe,drew-bledsoe
40,StraMi02,Michael Strahan,michael-strahan
41,BrowCh04,Chad Brown,chad-brown
44,elamxjas01,Jason Elam,jason-elam
45,ShieWi00,Will Shields,will-shields
46,LyncJo00,John Lynch,john-lynch
47,NealLo00,Lorenzo Neal,lorenzo-neal
51,BrunMa00,Mark Brunell,mark-brunell
52,GrayCh20,Chris Gray,chris-gray
55,ZgonJe20,Jeff Zgonina,jeff-zgonina
56,BrowTr00,Troy Brown,troy-brown
58,GreeTr00,Trent Green,trent-green
59,BartMi00,Mike Bartrum,mike-bartrum
62,KozlBr00,Brian Kozlowski,brian-kozlowski
63,MartJa00,Jamie Martin,jamie-martin
66,StroMa00,Mack Strong,mack-strong
67,TobeRo55,Robbie Tobeck,robbie-tobeck
68,TurkMa20,Matt Turk,matt-turk
69,WilkDa22,Dan Wilkinson,dan-wilkinson
71,McGiWi00,Willie McGinest,willie-mc-ginest
72,DilfTr00,Trent Dilfer,trent-dilfer
73,YounBr00,Bryant Young,bryant-young
74,AdamSa00,Sam Adams,sam-adams
75,GlenAa00,Aaron Glenn,aaron-glenn
76,GandWa20,Wayne Gandy,wayne-gandy
78,SteuTo00,Todd Steussie,todd-steussie
80,BrucIs00,Isaac Bruce,isaac-bruce
81,MawaKe00,Kevin Mawae,kevin-mawae
84,AlleLa00,Larry Allen,larry-allen
86,BrahRi20,Rich Braham,rich-braham
89,HarrRo01,Rodney Harrison,rodney-harrison
90,vonOKi20,Kimo von Oelhoffen,kimo-von-oelhoffen
93,FrerGu00,Gus Frerotte,gus-frerotte
94,BurnKe21,Keith Burns,keith-burns
95,NaleTo00,Tom Nalen,tom-nalen
99,BellJa22,Jay Bellamy,jay-bellamy
104,GrifRo00,Robert Griffith,robert-griffith
105,HamiBo20,Bobby Hamilton,bobby-hamilton
106,JackTy20,Tyoka Jackson,tyoka-jackson
107,McCoAn20,Andy McCollum,andy-mc-collum
108,QuarSh20,Shelton Quarles,shelton-quarles
110,RichTo00,Tony Richardson,tony-richardson
111,SmitRo01,Rod Smith,rod-smith
112,WarnKu00,Kurt Warner,kurt-warner
113,wilkijef01,Jeff Wilkins,jeff-wilkins
114,McNaSt00,Steve McNair,steve-mc-nair
115,CollKe00,Kerry Collins,kerry-collins
116,CartKe00,Kevin Carter,kevin-carter
117,GallJo00,Joey Galloway,joey-galloway
118,BradKy00,Kyle Brady,kyle-brady
119,SappWa00,Warren Sapp,warren-sapp
120,BrowRu00,Ruben Brown,ruben-brown
123,PoolTy20,Tyrone Poole,tyrone-poole
124,LawxTy00,Ty Law,ty-law
125,BrueMa00,Mark Bruener,mark-bruener
126,BrooDe00,Derrick Brooks,derrick-brooks
129,WiegZa20,Zach Wiegert,zach-wiegert
130,FaurCh00,Christian Fauria,christian-fauria
131,CollTo00,Todd Collins,todd-collins
134,HendWi00,William Henderson,william-henderson
136,CrocZa00,Zack Crockett,zack-crockett
141,SchlCo00,Cory Schlesinger,cory-schlesinger
142,McCrFr00,Fred McCrary,fred-mc-crary
144,TimmAd20,Adam Timmerman,adam-timmerman
145,FiskJa20,Jason Fisk,jason-fisk
147,DaviDo22,Don Davis,don-davis
148,HolcKe00,Kelly Holcomb,kelly-holcomb
151,PollMa00,Marcus Pollard,marcus-pollard
152,WhitWi23,Willie Whitehead,willie-whitehead
153,JohnKe00,Keyshawn Johnson,keyshawn-johnson
154,RiceSi00,Simeon Rice,simeon-rice
155,OgdeJo00,Jonathan Ogden,jonathan-ogden
156,GlenTe00,Terry Glenn,terry-glenn
158,AndeWi00,Willie Anderson,willie-anderson
159,HarrWa21,Walt Harris,walt-harris
161,KennEd00,Eddie Kennison,eddie-kennison
162,HarrMa00,Marvin Harrison,marvin-harrison
163,KendPe20,Pete Kendall,pete-kendall
164,HartJe55,Jeff Hartings,jeff-hartings
165,MoulEr00,Eric Moulds,eric-moulds
167,LewiRa00,Ray Lewis,ray-lewis
169,ToomAm00,Amani Toomer,amani-toomer
170,AlstMi00,Mike Alstott,mike-alstott
171,MillLa00,Lawyer Milloy,lawyer-milloy
173,MuhaMu00,Muhsin Muhammad,muhsin-muhammad
174,JameTo99,Tory James,tory-james
175,ThomFr20,Fred Thomas,fred-thomas
176,GodfRa20,Randall Godfrey,randall-godfrey
177,EngrBo00,Bobby Engram,bobby-engram
178,DunnJa00,Jason Dunn,jason-dunn
179,JohnLa23,Lance Johnstone,lance-johnstone
180,ConwEr00,Ernie Conwell,ernie-conwell
181,DawkBr00,Brian Dawkins,brian-dawkins
182,MickRa20,Ray Mickens,ray-mickens
183,ObenRo20,Roman Oben,roman-oben
187,BrusTe99,Tedy Bruschi,tedy-bruschi
188,OwenTe00,Terrell Owens,terrell-owens
189,FlanMi00,Mike Flanagan,mike-flanagan
190,EdwaDo20,Donnie Edwards,donnie-edwards
191,DaniPh20,Phillip Daniels,phillip-daniels
192,DaviSt00,Stephen Davis,stephen-davis
193,RunyJo20,Jon Runyan,jon-runyan
196,BoldJu20,Juran Bolden,juran-bolden
198,ColeMa20,Marcus Coleman,marcus-coleman
199,HornJo00,Joe Horn,joe-horn
200,MillFr21,Fred Miller,fred-miller
202,VillCh20,Chris Villarrial,chris-villarrial
203,ThomZa01,Zach Thomas,zach-thomas
204,GlovLa00,La'Roi Glover,la-roi-glover
206,RoyeOr20,Orpheus Roye,orpheus-roye
207,RiveMa01,Marco Rivera,marco-rivera
209,EmmoCa20,Carlos Emmons,carlos-emmons
210,FergNi20,Nick Ferguson,nick-ferguson
214,HethCh00,Chris Hetherington,chris-hetherington
215,HuarDa00,Damon Huard,damon-huard
216,IzzoLa00,Larry Izzo,larry-izzo
217,KitnJo00,Jon Kitna,jon-kitna
221,PattDa00,David Patten,david-patten
224,StokBa20,Barry Stokes,barry-stokes
225,ThomHo20,Hollis Thomas,hollis-thomas
226,vinatada01,Adam Vinatieri,adam-vinatieri
227,WiegCa20,Casey Wiegmann,casey-wiegmann
229,PaceOr00,Orlando Pace,orlando-pace
230,SpriSh00,Shawn Springs,shawn-springs
232,JoneWa00,Walter Jones,walter-jones
233,HillIk00,Ike Hilliard,ike-hilliard
234,FarrJa99,James Farrior,james-farrior
235,NaeoCh20,Chris Naeole,chris-naeole
236,DunnWa00,Warrick Dunn,warrick-dunn
237,GonzTo00,Tony Gonzalez,tony-gonzalez
238,LangKe20,Kenard Lang,kenard-lang
239,GlenTa99,Tarik Glenn,tarik-glenn
240,WynnRe20,Renaldo Wynn,renaldo-wynn
242,ScotCh20,Chad Scott,chad-scott
243,PrycTr00,Trevor Pryce,trevor-pryce
245,BarbTi00,Tiki Barber,tiki-barber
247,McClDe21,Dexter McCleon,dexter-mc-cleon
248,PlumJa00,Jake Plummer,jake-plummer
249,DillCo00,Corey Dillon,corey-dillon
250,MadiSa00,Sam Madison,sam-madison
251,LogaMi20,Mike Logan,mike-logan
252,WileMa00,Marcellus Wiley,marcellus-wiley
254,MintMi21,Mike Minter,mike-minter
255,DarlJa20,James Darling,james-darling
258,SharDa00,Darren Sharper,darren-sharper
260,CoakDe00,Dexter Coakley,dexter-coakley
261,BarbRo00,Ronde Barber,ronde-barber
262,StalDu00,Duce Staley,duce-staley
263,TreuAd20,Adam Treu,adam-treu
264,TaylJa03,Jason Taylor,jason-taylor
266,SmitDe21,Derek Smith,derek-smith
267,BerrBe99,Bertrand Berry,bertrand-berry
268,VrabMi20,Mike Vrabel,mike-vrabel
271,MasoDe00,Derrick Mason,derrick-mason
272,RobiMa00,Marcus Robinson,marcus-robinson
273,TuckRy20,Ryan Tucker,ryan-tucker
274,PaynSe20,Seth Payne,seth-payne
275,SingAl20,Al Singleton,al-singleton
279,KaluN.20,N.D. Kalu,n-d-kalu
281,BadgBr20,Brad Badger,brad-badger
282,HarrAl21,Al Harris,al-harris
284,MiliIt00,Itula Mili,itula-mili
286,TateRo00,Robert Tate,robert-tate
287,ShelDa00,Daimon Shelton,daimon-shelton
288,JackGr20,Grady Jackson,grady-jackson
291,StouOm20,Omar Stoutmire,omar-stoutmire
292,MangKr00,Kris Mangum,kris-mangum
293,FergJa21,Jason Ferguson,jason-ferguson
294,SoweJe00,Jerald Sowell,jerald-sowell
295,akersdav01,David Akers,david-akers
296,AndrJo21,Joe Andruzzi,joe-andruzzi
297,AyanOb00,Obafemi Ayanbadejo,obafemi-ayanbadejo
298,BeveEr00,Eric Beverly,eric-beverly
299,BoumTo00,Todd Bouman,todd-bouman
302,CousTe20,Terry Cousin,terry-cousin
303,DelhJa00,Jake Delhomme,jake-delhomme
304,FlynMi20,Mike Flynn,mike-flynn
305,FordTo20,Todd Fordham,todd-fordham
308,HankKa00,Karl Hankton,karl-hankton
309,HolmPr00,Priest Holmes,priest-holmes
310,KirsTr20,Travis Kirschke,travis-kirschke
311,KnigSa00,Sammy Knight,sammy-knight
312,LepsMa20,Matt Lepsis,matt-lepsis
316,MathKe20,Kevin Mathis,kevin-mathis
319,PoseJe20,Jeff Posey,jeff-posey
321,RobiBr20,Bryan Robinson,bryan-robinson
322,SimsBa20,Barry Sims,barry-sims
323,ThraJa00,James Thrash,james-thrash
325,WallAl20,Al Wallace,al-wallace
326,WillPa20,Pat Williams,pat-williams
327,MannPe00,Peyton Manning,peyton-manning
328,WillJa99,Jamal Williams,jamal-williams
329,WahlMi55,Mike Wahle,mike-wahle
330,WoodCh00,Charles Woodson,charles-woodson
331,WistGr20,Grant Wistrom,grant-wistrom
332,ElliGr20,Greg Ellis,greg-ellis
333,TaylFr00,Fred Taylor,fred-taylor
334,StarDu20,Duane Starks,duane-starks
335,ThomTr00,Tra Thomas,tra-thomas
336,BrooKe00,Keith Brooking,keith-brooking
337,SpikTa00,Takeo Spikes,takeo-spikes
339,SimmBr20,Brian Simmons,brian-simmons
340,HollVo20,Vonnie Holliday,vonnie-holliday
342,MossRa00,Randy Moss,randy-moss
344,WillSh20,Shaun Williams,shaun-williams
345,DariDo20,Donovin Darius,donovin-darius
346,FaneAl00,Alan Faneca,alan-faneca
348,McQuR.20,R.W. McQuarters,r-w-mc-quarters
350,ChavCo00,Corey Chavous,corey-chavous
351,ParrTo20,Tony Parrish,tony-parrish
352,ClemAn20,Anthony Clement,anthony-clement
354,AdamFl00,Flozell Adams,flozell-adams
357,HawkAr20,Artrell Hawkins,artrell-hawkins
358,SurtPa00,Patrick Surtain,patrick-surtain
359,KellBr21,Brian Kelly,brian-kelly
360,RollSa00,Samari Rolle,samari-rolle
361,WeinTo20,Todd Weiner,todd-weiner
362,AlexSt00,Stephen Alexander,stephen-alexander
363,WongKa20,Kailee Wong,kailee-wong
365,JureJo00,Joe Jurevicius,joe-jurevicius
366,NewbJe00,Jeremy Newberry,jeremy-newberry
367,BatcCh00,Charlie Batch,charlie-batch
369,KreuOl00,Olin Kreutz,olin-kreutz
370,LittLe00,Leonard Little,leonard-little
372,TrotJe00,Jeremiah Trotter,jeremiah-trotter
374,GreeAh00,Ahman Green,ahman-green
375,GoffMi20,Mike Goff,mike-goff
376,SpirGr20,Greg Spires,greg-spires
377,RossAl99,Allen Rossum,allen-rossum
379,GrieBr00,Brian Griese,brian-griese
380,WardHi00,Hines Ward,hines-ward
381,McKiSt20,Steve McKinney,steve-mc-kinney
382,PittMi00,Michael Pittman,michael-pittman
383,HakiAz00,Az-Zahir Hakim,az-zahir-hakim
385,MyerMi20,Michael Myers,michael-myers
387,SalaJo20,Joe Salave'a,joe-salavea
388,FabiJa20,Jason Fabini,jason-fabini
389,BarbSh20,Shawn Barber,shawn-barber
390,DwigTi00,Tim Dwight,tim-dwight
391,TownDe20,Deshea Townsend,deshea-townsend
392,SchuLa00,Lance Schulters,lance-schulters
395,SimmJa20,Jason Simmons,jason-simmons
396,RossOl20,Oliver Ross,oliver-ross
397,OlsoBe20,Benji Olson,benji-olson
398,ReesIk99,Ike Reese,ike-reese
399,WadeJo20,John Wade,john-wade
400,BradCo00,Corey Bradford,corey-bradford
401,DrafCh20,Chris Draft,chris-draft
404,BirkMa00,Matt Birk,matt-birk
408,HassMa00,Matt Hasselbeck,matt-hasselbeck
410,MannPa20,Patrick Mannelly,patrick-mannelly
411,WhitAl00,Alvis Whitted,alvis-whitted
412,SalaEp20,Ephraim Salaam,ephraim-salaam
