side,category,label,position
D,DB,CB,CB
D,DB,CB,LCB
D,DB,CB,RCB
D,DB,CB,SCB
D,DB,DB,DB
D,DB,S,FS
D,DB,S,S
D,DB,S,SS
D,DL,DL,DE
D,DL,DL,DL
D,DL,DL,DLE
D,DL,DL,DLT
D,DL,DL,DRE
D,DL,DL,DRT
D,DL,DL,DT
D,DL,DL,LDT
D,DL,DL,LE
D,DL,DL,NT
D,DL,DL,RDT
D,DL,DL,RE
D,ED,EDGE,EDGE
D,LB,LB,ILB
D,LB,LB,LB
D,LB,LB,LILB
D,LB,LB,LLB
D,LB,LB,LOLB
D,LB,LB,MIKE
D,LB,LB,MLB
D,LB,LB,OLB
D,LB,LB,RILB
D,LB,LB,RLB
D,LB,LB,ROLB
D,LB,LB,SAM
D,LB,LB,SLB
D,LB,LB,WILL
D,LB,LB,WLB
O,OL,C,C
O,OL,G,G
O,OL,G,LG
O,OL,G,OG
O,OL,G,RG
O,OL,OL,OL
O,OL,T,LT
O,OL,T,OT
O,OL,T,RT
O,OL,T,T
O,QB,QB,QB
O,RB,RB,FB
O,RB,RB,HB
O,RB,RB,RB
O,TE,TE,TE
O,TE,TE,TE-L
O,TE,TE,TE-R
O,WR,WR,FL
O,WR,WR,LWR
O,WR,WR,RWR
O,WR,WR,SE
O,WR,WR,SLWR
O,WR,WR,SRWR
O,WR,WR,WR
S,K,K,K
S,KR,KR,KR
S,LS,LS,LS
S,P,P,P
S,ST,ST,ST
