season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,ARI,LeinMa00,Matt Leinart,M.Leinart,O,QB,QB,12,11,0,8
2006,ARI,LewiJo22,Jonathan Lewis,J.Lewis,,,,4,0,0,0
2006,ARI,LiwiCh20,Chris Liwienski,C.Liwienski,O,OL,LG,16,6,8,4
2006,ARI,ArriJ.00,J.J. Arrington,J.Arrington,,,,16,0,1,2
2006,ARI,LutuDe20,Deuce Lutui,D.Lutui,O,OL,RG,15,9,0,5
2006,ARI,AyanOb00,Obafemi Ayanbadejo,O.Ayanbadejo,,,,14,0,8,1
2006,ARI,MackDa20,David Macklin,D.Macklin,D,DB,RCB,14,7,6,2
2006,ARI,BeisMo20,Monty Beisel,M.Beisel,D,LB,MLB,8,2,5,1
2006,ARI,MillHa99,Hanik Milligan,H.Milligan,,,,16,0,2,1
2006,ARI,BergAd00,Adam Bergen,A.Bergen,O,TE,TE,14,7,1,1
2006,ARI,MoorLa20,Langston Moore,L.Moore,,,,3,0,2,0
2006,ARI,BerrBe99,Bertrand Berry,B.Berry,D,DL,DE,10,10,9,4
2006,ARI,OkeaCh20,Chike Okeafor,C.Okeafor,D,DL,DE,16,15,7,7
2006,ARI,BlacDa20,Darryl Blackstock,D.Blackstock,D,LB,LB,16,1,1,1
2006,ARI,PaceCa20,Calvin Pace,C.Pace,D,LB,LB,16,5,3,3
2006,ARI,BoldAn00,Anquan Boldin,A.Boldin,O,WR,WR,16,16,3,11
2006,ARI,PlaySc20,Scott Player,S.Player,S,P,P,16,0,8,2
2006,ARI,BronJo00,John Bronson,J.Bronson,,,,2,0,1,0
2006,ARI,PopeLe00,Leonard Pope,L.Pope,O,TE,TE,16,6,0,1
2006,ARI,BrowMi21,Milford Brown,M.Brown,O,OL,LG,13,12,3,6
2006,ARI,rackenei01,Neil Rackers,N.Rackers,S,K,K,16,0,6,3
2006,ARI,ClanKe20,Kendrick Clancy,K.Clancy,D,DL,NT,11,11,6,4
2006,ARI,RollAn20,Antrel Rolle,A.Rolle,D,DB,LCB,16,16,1,4
2006,ARI,CoopCh20,Chris Cooper,C.Cooper,,,,13,0,5,1
2006,ARI,RossOl20,Oliver Ross,O.Ross,O,OL,RT,11,5,8,3
2006,ARI,DansKa20,Karlos Dansby,K.Dansby,D,LB,LB,14,10,2,5
2006,ARI,SchaA.20,A.J. Schable,A.Schable,,,,11,0,0,0
2006,ARI,DarlJa20,James Darling,J.Darling,,,,3,0,9,0
2006,ARI,ShipMa00,Marcel Shipp,M.Shipp,,,,15,0,5,1
2006,ARI,DaviLe21,Leonard Davis,L.Davis,O,OL,LT,16,16,5,8
2006,ARI,SmitAn22,Antonio Smith,A.Smith,D,DL,DE,16,8,2,7
2006,ARI,DockDa20,Darnell Dockett,D.Dockett,D,DL,DT,16,16,2,7
2006,ARI,SpurMi00,Micheal Spurlock,M.Spurlock,,,,1,0,0,0
2006,ARI,FerrDi00,Diamond Ferri,D.Ferri,,,,3,0,0,0
2006,ARI,StepAl20,Alex Stepanovich,A.Stepanovich,O,OL,C,5,5,2,2
2006,ARI,FitzLa00,Larry Fitzgerald,L.Fitzgerald,O,WR,WR,13,13,2,8
2006,ARI,TateRo00,Robert Tate,R.Tate,,,,9,0,9,0
2006,ARI,FranAa20,Aaron Francisco,A.Francisco,D,DB,FS,16,2,1,2
2006,ARI,WakeFr00,Fred Wakefield,F.Wakefield,O,TE,TE,16,9,5,0
2006,ARI,GreeEr20,Eric Green,E.Green,D,DB,RCB,15,8,1,3
2006,ARI,WaltTr00,Troy Walters,T.Walters,O,WR,WR,15,3,6,2
2006,ARI,GrifRo00,Robert Griffith,R.Griffith,D,DB,FS,16,16,12,5
2006,ARI,WareMa20,Matt Ware,M.Ware,D,DB,RCB,14,1,2,1
2006,ARI,HayeGe20,Gerald Hayes,G.Hayes,D,LB,MLB,14,14,3,7
2006,ARI,WarnKu00,Kurt Warner,K.Warner,O,QB,QB,6,5,8,5
2006,ARI,HodeNa20,Nathan Hodel,N.Hodel,,,,16,0,4,1
2006,ARI,WatsGa20,Gabe Watson,G.Watson,D,DL,NT,12,5,0,3
2006,ARI,HoliCa00,Carlyle Holiday,C.Holiday,O,WR,WR,4,2,1,0
2006,ARI,WellRe20,Reggie Wells,R.Wells,O,OL,RT,16,16,3,8
2006,ARI,HuffOr20,Orlando Huff,O.Huff,D,LB,LB,16,13,5,5
2006,ARI,WilsAd99,Adrian Wilson,A.Wilson,D,DB,SS,16,16,5,9
2006,ARI,HuntDa23,Darrell Hunter,D.Hunter,,,,3,0,0,0
2006,ARI,JameEd00,Edgerrin James,E.James,O,RB,RB,16,16,7,8
2006,ARI,JohnBr20,Brandon Johnson,B.Johnson,,,,3,0,0,0
2006,ARI,JohnBr02,Bryant Johnson,B.Johnson,O,WR,WR,16,8,3,6
2006,ARI,LeckNi20,Nick Leckey,N.Leckey,O,OL,C,14,11,2,5
2006,ATL,BeveEr00,Eric Beverly,E.Beverly,O,TE,TE,16,2,8,0
2006,ATL,MallJo20,Josh Mallard,J.Mallard,D,DL,DE,14,1,4,2
2006,ATL,BlakDw00,Dwayne Blakley,D.Blakley,O,TE,TE,16,4,2,1
2006,ATL,MathKe20,Kevin Mathis,K.Mathis,,,,8,0,9,1
2006,ATL,BoleMi20,Michael Boley,M.Boley,D,LB,LB,16,13,1,7
2006,ATL,McClTo20,Todd McClure,T.McClure,O,OL,C,16,16,6,8
2006,ATL,BrooKe00,Keith Brooking,K.Brooking,D,LB,LB,16,16,8,8
2006,ATL,McCrFr00,Fred McCrary,F.McCrary,,,,15,0,11,0
2006,ATL,CarrPa21,Paul Carrington,P.Carrington,D,DL,DE,15,2,0,3
2006,ATL,MillLa00,Lawyer Milloy,L.Milloy,D,DB,SS,16,16,10,6
2006,ATL,ClabTy20,Tyson Clabo,T.Clabo,O,OL,RG,10,10,0,5
2006,ATL,NewtCa20,Cam Newton,C.Newton,,,,3,0,1,0
2006,ATL,ColeRo99,Roderick Coleman,R.Coleman,D,DL,DT,15,15,7,7
2006,ATL,NorwJe00,Jerious Norwood,J.Norwood,,,,14,0,0,5
2006,ATL,CrocCh20,Chris Crocker,C.Crocker,D,DB,FS,16,16,3,7
2006,ATL,OjinQu20,Quinn Ojinnaka,Q.Ojinnaka,,,,11,0,0,1
2006,ATL,CrumAl00,Alge Crumpler,A.Crumpler,O,TE,TE,16,16,5,8
2006,ATL,OmiyFr20,Frank Omiyale,F.Omiyale,,,,1,0,0,0
2006,ATL,DaviCh22,Chauncey Davis,C.Davis,D,DL,DE,16,13,1,6
2006,ATL,ReesIk99,Ike Reese,I.Reese,,,,16,0,8,1
2006,ATL,DudlKe00,Kevin Dudley,K.Dudley,,,,1,0,1,0
2006,ATL,RobeJa00,Jamal Robertson,J.Robertson,,,,1,0,4,0
2006,ATL,DunnWa00,Warrick Dunn,W.Dunn,O,RB,RB,16,16,9,9
2006,ATL,RossAl99,Allen Rossum,A.Rossum,D,DB,CB,16,6,8,3
2006,ATL,ElliJa00,Jamin Elliott,J.Elliott,,,,1,0,4,0
2006,ATL,SchaMa00,Matt Schaub,M.Schaub,,,,16,0,2,1
2006,ATL,FornKy20,Kynan Forney,K.Forney,O,OL,RG,7,7,5,3
2006,ATL,SchuLa00,Lance Schulters,L.Schulters,D,DB,RCB,7,1,8,1
2006,ATL,GandWa20,Wayne Gandy,W.Gandy,O,OL,LT,16,16,12,8
2006,ATL,ShroDa20,Darrell Shropshire,D.Shropshire,D,DL,NT,13,1,1,1
2006,ATL,GrifJu00,Justin Griffith,J.Griffith,O,RB,FB,16,11,3,2
2006,ATL,StutBo00,Boone Stutz,B.Stutz,,,,16,0,0,0
2006,ATL,HallDe99,DeAngelo Hall,D.Hall,D,DB,LCB,16,16,2,11
2006,ATL,TurnNi20,Nick Turnbull,N.Turnbull,,,,2,0,0,0
