season,team,nfl,nfl_team_id,espn,pfr,pff,pfflabel,fo,full,location,short_location,nickname,hyphenated,sbr,sbr_wins,sbr_name,draft_kings
2002,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2002,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2002,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2002,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2002,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2002,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2002,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2002,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2002,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2002,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2002,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2002,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2002,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2002,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2002,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
