game_type,week,away_team,home_team,away_rest,home_rest,location,result
REG,1,BUF,KC,7,7,Home,
REG,1,MIA,LAC,7,7,Home,
REG,1,NE,LV,7,7,Home,
REG,1,NYJ,DEN,7,7,Home,
REG,1,BAL,TEN,7,7,Home,
REG,1,CIN,JAX,7,7,Home,
REG,1,CLE,HOU,7,7,Home,
REG,1,PIT,IND,7,7,Home,
REG,1,ATL,CHI,7,7,Home,
REG,1,CAR,DET,7,7,Home,
REG,1,NO,GB,7,7,Home,
REG,1,TB,MIN,7,7,Home,
REG,1,ARI,WAS,7,7,Home,
REG,1,LA,NYG,7,7,Home,
REG,1,SEA,DAL,7,7,Home,
REG,1,SF,PHI,7,7,Home,
REG,2,BUF,LAC,7,7,Home,
REG,2,MIA,KC,7,7,Home,
REG,2,NE,DEN,7,7,Home,
REG,2,NYJ,LV,7,7,Home,
REG,2,BAL,JAX,7,7,Home,
REG,2,CIN,TEN,7,7,Home,
REG,2,CLE,IND,7,7,Home,
REG,2,PIT,HOU,7,7,Home,
REG,2,DAL,SF,7,7,Home,
REG,2,NYG,ARI,7,7,Home,
REG,2,PHI,SEA,7,7,Home,
REG,2,WAS,LA,7,7,Home,
REG,2,CHI,NO,7,7,Home,
REG,2,DET,TB,7,7,Home,
REG,2,GB,ATL,7,7,Home,
REG,2,MIN,CAR,7,7,Home,
REG,3,HOU,BAL,7,7,Home,
REG,3,IND,CIN,7,7,Home,
REG,3,JAX,PIT,7,7,Home,
REG,3,TEN,CLE,7,7,Home,
REG,3,DEN,MIA,7,7,Home,
REG,3,KC,NE,7,7,Home,
REG,3,LAC,NYJ,7,7,Home,
REG,3,LV,BUF,7,7,Home,
REG,3,DAL,ARI,7,7,Home,
REG,3,NYG,SF,7,7,Home,
REG,3,PHI,LA,7,7,Home,
REG,3,WAS,SEA,7,7,Home,
REG,3,ATL,DET,7,7,Home,
REG,3,CAR,CHI,7,7,Home,
REG,3,NO,MIN,7,7,Home,
REG,3,TB,GB,7,7,Home,
REG,4,HOU,CIN,7,7,Home,
REG,4,IND,BAL,7,7,Home,
REG,4,JAX,CLE,7,7,Home,
REG,4,TEN,PIT,7,7,Home,
REG,4,DEN,BUF,7,7,Home,
REG,4,KC,NYJ,7,7,Home,
REG,4,LAC,NE,7,7,Home,
REG,4,LV,MIA,7,7,Home,
REG,4,CHI,TB,7,7,Home,
REG,4,DET,NO,7,7,Home,
REG,4,GB,CAR,7,7,Home,
REG,4,MIN,ATL,7,7,Home,
REG,4,ARI,PHI,7,7,Home,
REG,4,LA,DAL,7,7,Home,
REG,4,SEA,NYG,7,7,Home,
REG,4,SF,WAS,7,7,Home,
REG,5,BUF,PHI,7,7,Home,
REG,5,NE,NYG,7,7,Home,
REG,5,CIN,SF,7,7,Home,
REG,5,PIT,LA,7,7,Home,
REG,5,HOU,ATL,7,7,Home,
REG,5,JAX,TB,7,7,Home,
REG,5,DEN,CHI,7,7,Home,
REG,5,KC,MIN,7,7,Home,
REG,5,DAL,MIA,7,7,Home,
REG,5,WAS,NYJ,7,7,Home,
REG,5,DET,LAC,7,7,Home,
REG,5,GB,LV,7,7,Home,
REG,5,CAR,TEN,7,7,Home,
REG,5,NO,IND,7,7,Home,
REG,5,ARI,CLE,7,7,Home,
REG,5,SEA,BAL,7,7,Home,
REG,6,MIA,PHI,7,7,Home,
REG,6,NYJ,NYG,7,7,Home,
REG,6,BAL,SF,7,7,Home,
REG,6,CLE,LA,7,7,Home,
REG,6,IND,ATL,7,7,Home,
REG,6,TEN,TB,7,7,Home,
REG,6,LAC,MIN,7,7,Home,
REG,6,LV,CHI,7,7,Home,
REG,6,DAL,BUF,7,7,Home,
REG,6,WAS,NE,7,7,Home,
REG,6,DET,KC,7,7,Home,
REG,6,GB,DEN,7,7,Home,
REG,6,CAR,JAX,7,7,Home,
REG,6,NO,HOU,7,7,Home,
REG,6,ARI,PIT,7,7,Home,
REG,6,SEA,CIN,7,7,Home,
REG,7,MIA,WAS,7,7,Home,
REG,7,NYJ,DAL,7,7,Home,
REG,7,BAL,ARI,7,7,Home,
REG,7,CLE,SEA,7,7,Home,
REG,7,HOU,CAR,7,7,Home,
REG,7,JAX,NO,7,7,Home,
REG,7,DEN,DET,7,7,Home,
REG,7,KC,GB,7,7,Home,
REG,7,NYG,BUF,7,7,Home,
REG,7,PHI,NE,7,7,Home,
REG,7,CHI,LAC,7,7,Home,
REG,7,MIN,LV,7,7,Home,
REG,7,ATL,TEN,7,7,Home,
REG,7,TB,IND,7,7,Home,
REG,7,LA,CIN,7,7,Home,
REG,7,SF,PIT,7,7,Home,
REG,8,BUF,WAS,7,7,Home,
REG,8,NE,DAL,7,7,Home,
REG,8,CIN,ARI,7,7,Home,
REG,8,PIT,SEA,7,7,Home,
REG,8,IND,CAR,7,7,Home,
REG,8,TEN,NO,7,7,Home,
REG,8,LAC,GB,7,7,Home,
REG,8,LV,DET,7,7,Home,
REG,8,NYG,MIA,7,7,Home,
REG,8,PHI,NYJ,7,7,Home,
REG,8,CHI,KC,7,7,Home,
REG,8,MIN,DEN,7,7,Home,
REG,8,ATL,JAX,7,7,Home,
REG,8,TB,HOU,7,7,Home,
REG,8,LA,BAL,7,7,Home,
REG,8,SF,CLE,7,7,Home,
REG,9,BAL,LAC,7,7,Home,
REG,9,CIN,KC,7,7,Home,
REG,9,CLE,DEN,7,7,Home,
REG,9,PIT,LV,7,7,Home,
REG,9,HOU,NYJ,7,7,Home,
REG,9,IND,NE,7,7,Home,
REG,9,JAX,BUF,7,7,Home,
REG,9,TEN,MIA,7,7,Home,
REG,9,CHI,WAS,7,7,Home,
REG,9,DET,DAL,7,7,Home,
REG,9,GB,NYG,7,7,Home,
REG,9,MIN,PHI,7,7,Home,
REG,9,ATL,ARI,7,7,Home,
REG,9,CAR,SEA,7,7,Home,
REG,9,NO,LA,7,7,Home,
REG,9,TB,SF,7,7,Home,
REG,10,BUF,CIN,7,7,Home,
REG,10,MIA,BAL,7,7,Home,
REG,10,NE,PIT,7,7,Home,
REG,10,NYJ,CLE,7,7,Home,
REG,10,DEN,HOU,7,7,Home,
REG,10,KC,JAX,7,7,Home,
REG,10,LAC,TEN,7,7,Home,
REG,10,LV,IND,7,7,Home,
REG,10,DAL,CAR,7,7,Home,
REG,10,NYG,NO,7,7,Home,
REG,10,PHI,TB,7,7,Home,
REG,10,WAS,ATL,7,7,Home,
REG,10,ARI,CHI,7,7,Home,
REG,10,LA,GB,7,7,Home,
REG,10,SEA,DET,7,7,Home,
REG,10,SF,MIN,7,7,Home,
REG,11,DAL,LAC,7,7,Home,
REG,11,NYG,LV,7,7,Home,
REG,11,PHI,KC,7,7,Home,
REG,11,WAS,DEN,7,7,Home,
REG,11,CHI,CLE,7,7,Home,
