season,conference,division,team,wins,losses,ties,win_pct,div_rank,sov,sos,seed,playoffs
2002,AFC,AFC East,BUF,8,8,0,0.5,4,0.351562,0.472656,,
2002,AFC,AFC East,MIA,9,7,0,0.5625,3,0.486111,0.507812,,
2002,AFC,AFC East,NE,9,7,0,0.5625,2,0.451389,0.523438,,
2002,AFC,AFC East,NYJ,9,7,0,0.5625,1,0.5,0.5,4,LostDV
2002,AFC,AFC North,BAL,7,9,0,0.4375,3,0.383929,0.5,,
2002,AFC,AFC North,CIN,2,14,0,0.125,4,0.40625,0.53125,,
2002,AFC,AFC North,CLE,9,7,0,0.5625,2,0.409722,0.480469,6,LostWC
2002,AFC,AFC North,PIT,10,5,1,0.65625,1,0.44375,0.484375,3,LostDV
2002,AFC,AFC South,HOU,4,12,0,0.25,4,0.484375,0.515625,,
2002,AFC,AFC South,IND,10,6,0,0.625,2,0.4,0.476562,5,LostWC
2002,AFC,AFC South,JAX,6,10,0,0.375,3,0.4375,0.503906,,
2002,AFC,AFC South,TEN,11,5,0,0.6875,1,0.471591,0.476562,2,LostCC
2002,AFC,AFC West,DEN,9,7,0,0.5625,2,0.486111,0.527344,,
2002,AFC,AFC West,KC,8,8,0,0.5,4,0.515625,0.527344,,
2002,AFC,AFC West,OAK,11,5,0,0.6875,1,0.528409,0.527344,1,LostSB
2002,AFC,AFC West,SD,8,8,0,0.5,3,0.453125,0.492188,,
2002,NFC,NFC East,DAL,5,11,0,0.3125,4,0.475,0.5,,
2002,NFC,NFC East,NYG,10,6,0,0.625,2,0.45,0.480469,5,LostWC
2002,NFC,NFC East,PHI,12,4,0,0.75,1,0.432292,0.46875,1,LostCC
2002,NFC,NFC East,WAS,7,9,0,0.4375,3,0.4375,0.527344,,
2002,NFC,NFC North,CHI,4,12,0,0.25,3,0.421875,0.519531,,
2002,NFC,NFC North,DET,3,13,0,0.1875,4,0.375,0.492188,,
2002,NFC,NFC North,GB,12,4,0,0.75,1,0.411458,0.449219,3,LostWC
2002,NFC,NFC North,MIN,6,10,0,0.375,2,0.416667,0.496094,,
2002,NFC,NFC South,ATL,9,6,1,0.59375,2,0.416667,0.492188,6,LostDV
2002,NFC,NFC South,CAR,7,9,0,0.4375,4,0.357143,0.480469,,
2002,NFC,NFC South,NO,9,7,0,0.5625,3,0.5625,0.492188,,
2002,NFC,NFC South,TB,12,4,0,0.75,1,0.427083,0.476562,2,WonSB
2002,NFC,NFC West,ARI,5,11,0,0.3125,4,0.4,0.5,,
2002,NFC,NFC West,SEA,7,9,0,0.4375,3,0.428571,0.503906,,
2002,NFC,NFC West,SF,10,6,0,0.625,1,0.45,0.503906,4,LostDV
2002,NFC,NFC West,STL,7,9,0,0.4375,2,0.446429,0.507812,,
2003,AFC,AFC East,BUF,6,10,0,0.375,3,0.4375,0.570312,,
2003,AFC,AFC East,MIA,10,6,0,0.625,2,0.3875,0.511719,,
2003,AFC,AFC East,NE,14,2,0,0.875,1,0.504464,0.484375,1,WonSB
2003,AFC,AFC East,NYJ,6,10,0,0.375,4,0.395833,0.527344,,
2003,AFC,AFC North,BAL,10,6,0,0.625,1,0.4,0.457031,4,LostWC
2003,AFC,AFC North,CIN,8,8,0,0.5,2,0.46875,0.457031,,
2003,AFC,AFC North,CLE,5,11,0,0.3125,4,0.3625,0.539062,,
2003,AFC,AFC North,PIT,6,10,0,0.375,3,0.364583,0.5,,
2003,AFC,AFC South,HOU,5,11,0,0.3125,4,0.4625,0.570312,,
2003,AFC,AFC South,IND,12,4,0,0.75,1,0.447917,0.492188,3,LostCC
2003,AFC,AFC South,JAX,5,11,0,0.3125,3,0.45,0.542969,,
2003,AFC,AFC South,TEN,12,4,0,0.75,2,0.401042,0.472656,5,LostDV
2003,AFC,AFC West,DEN,10,6,0,0.625,2,0.40625,0.5,6,LostWC
2003,AFC,AFC West,KC,13,3,0,0.8125,1,0.384615,0.417969,2,LostDV
2003,AFC,AFC West,OAK,4,12,0,0.25,3,0.484375,0.515625,,
2003,AFC,AFC West,SD,4,12,0,0.25,4,0.359375,0.503906,,
2003,NFC,NFC East,DAL,10,6,0,0.625,2,0.3875,0.460938,6,LostWC
2003,NFC,NFC East,NYG,4,12,0,0.25,4,0.5,0.554688,,
2003,NFC,NFC East,PHI,12,4,0,0.75,1,0.4375,0.476562,1,LostCC
2003,NFC,NFC East,WAS,5,11,0,0.3125,3,0.4875,0.53125,,
2003,NFC,NFC North,CHI,7,9,0,0.4375,3,0.366071,0.488281,,
2003,NFC,NFC North,DET,5,11,0,0.3125,4,0.4625,0.535156,,
2003,NFC,NFC North,GB,10,6,0,0.625,1,0.4375,0.488281,4,LostDV
2003,NFC,NFC North,MIN,9,7,0,0.5625,2,0.5,0.457031,,
2003,NFC,NFC South,ATL,5,11,0,0.3125,4,0.4625,0.539062,,
2003,NFC,NFC South,CAR,11,5,0,0.6875,1,0.397727,0.445312,3,LostSB
2003,NFC,NFC South,NO,8,8,0,0.5,2,0.375,0.5,,
2003,NFC,NFC South,TB,7,9,0,0.4375,3,0.4375,0.507812,,
2003,NFC,NFC West,ARI,4,12,0,0.25,4,0.53125,0.542969,,
2003,NFC,NFC West,SEA,10,6,0,0.625,2,0.40625,0.464844,5,LostWC
2003,NFC,NFC West,SF,7,9,0,0.4375,3,0.473214,0.511719,,
2003,NFC,NFC West,STL,12,4,0,0.75,1,0.442708,0.433594,2,LostDV
2004,AFC,AFC East,BUF,9,7,0,0.5625,3,0.381944,0.511719,,
2004,AFC,AFC East,MIA,4,12,0,0.25,4,0.4375,0.554688,,
2004,AFC,AFC East,NE,14,2,0,0.875,1,0.477679,0.492188,2,WonSB
2004,AFC,AFC East,NYJ,10,6,0,0.625,2,0.40625,0.523438,5,LostDV
2004,AFC,AFC North,BAL,9,7,0,0.5625,2,0.472222,0.550781,,
2004,AFC,AFC North,CIN,8,8,0,0.5,3,0.453125,0.542969,,
2004,AFC,AFC North,CLE,4,12,0,0.25,4,0.46875,0.589844,,
2004,AFC,AFC North,PIT,15,1,0,0.9375,1,0.479167,0.484375,1,LostCC
2004,AFC,AFC South,HOU,7,9,0,0.4375,3,0.401786,0.503906,,
2004,AFC,AFC South,IND,12,4,0,0.75,1,0.458333,0.5,3,LostDV
2004,AFC,AFC South,JAX,9,7,0,0.5625,2,0.479167,0.527344,,
2004,AFC,AFC South,TEN,5,11,0,0.3125,4,0.4625,0.511719,,
2004,AFC,AFC West,DEN,10,6,0,0.625,2,0.45,0.484375,6,LostWC
